Order,Ambler class,Protein name,Alternative protein names,Subfamily,GenPeptID,GenBankID,PubMedID (DOI),Sequence,Number of PDB structures,Mutants,Phenotype,Functional information,Natural (N) or Acquired (A)
41,A,BcI-1,BlaY,BI-like,EEK47466,ACLT01000139,3124817 (DOI),view,,,,,N (Bacillus cereus ATCC 10876)
42,A,BcI-2,BA2997,BI-like,AIM06324,CP008853,12533457 (DOI),view,1,,,,N (Bacillus anthracis Cvac02)
43,A,BcI-3,BcI-P3,BI-like,—,—,—(—),view,,,,,
44,A,BcI-4,BcI-P4,BI-like,—,—,—(—),view,,,,,
45,A,BcI-P3,BcI-3,BI-like,AAA22668,M12607,2991192 (DOI),view,,,,,N (Bacillus cereus 5/B)
46,A,BcI-P4,BcI-4,BI-like,CAA58448,X83424,7789815 (DOI),view,,,,,N (Bacillus thuringiensis Bt13)
47,A,BcIII-1,,BIII-like,AAA22274,M15195,3027036 (DOI),view,,,,,N (Bacillus cereus)
48,A,BCL-1,,,ALA52629,CP012475,17846134 (DOI),view,,,,,N (Shouchella clausii)
49,A,BEL-1,,,AHD24679,KF745070,16127048 (DOI),view,10,,2be,ESBL,A
50,A,BEL-2,,,ACV69996,FJ666063,19884378 (DOI),view,,,2be,ESBL,A
51,A,BEL-3,,,ACT09140,GQ202694,19933793 (DOI),view,,,2be,ESBL,A
52,A,BEL-4,,,ANM44757,KX388629,,view,,,,ESBL,A
53,A,BES-1,,,AAF61147,AF234999,11036023 (DOI),view,,,2be,ESBL,A
54,A,BIC-1,,,ADB56658,GQ260093,19901091 (DOI),view,,,,carbapenemase,A
55,A,BIC-2,,,WKD79667,OR143113,,view,,,,carbapenemase,A
56,A,BKC-1,,,AKD43328,KP689347,26055384 (DOI),view,,,,carbapenemase,A
57,A,BKC-2,,,QJR96167,MT427610,33318020 (DOI),view,,,,carbapenemase,A
58,A,BlaC-1,MT2128,,AAB07556,U67924,9145897 (DOI) 16870770 (DOI),,,,,,N (Mycobacterium tuberculosis H37Ra)
59,A,BlaP-1,"BlaP, BLIP, BEPEN, BLICH",,CAA23431,V00093,6269055 (DOI),view,,,,broad spectrum,N (Bacillus licheniformis)
60,A,BlaP-2,,,AMR08909,CP014781,,view,,,,,N (Bacillus licheniformis)
61,A,BlaP-P1,"BLI-1, BS3",,CAA71115,Y10006,9280280 (DOI),view,,,,,N (Bacillus licheniformis)
62,A,BlaS-1,,,AIU14458,CP009495,15699201 (DOI),view,,,,,N (Mycolicibacterium smegmatis INHR1)
63,A,BOR-1,,,CAE32545,BX640443,15917575 (DOI),view,,,,,N (Bordetella bronchiseptica RB50)
64,A,BPA-1,,,WP_041763983,NC_010622,,view,1,,,,N (Paraburkholderia phymatum STM815)
65,A,BRO-1,,,AAA92126,U49269,1396750 (DOI) 8849261 (DOI),view,,,,,N (Moraxella catarrhalis)
66,A,BRO-2,,,ADG61848,CP002005,1396750 (DOI) 8849261 (DOI),view,,,,,N (Moraxella catarrhalis)
67,A,CAD-1,,,AAV65950,AY650920,18070972 (DOI),view,,,,broad spectrum,N (Carnobacterium divergens)
68,A,CAE-1,,,RGE40949,KZ984469,36869066 (DOI),view,,,,broad spectrum,A
69,A,CARB-1,"PSE-4, BlaP1a",CARB-1-like,AAA25979,J05162,2295609 (—) 11959558 (DOI) 377324 (DOI),view,3,1,2c,carbenicillinase broad spectrum,A
70,A,CARB-2,"PSE-1, BlaP1b",CARB-1-like,AAA25740,M69058,1339258 (DOI) 1804019 (DOI),view,,,2c,carbenicillinase broad spectrum,A
71,A,CARB-3,"PSE-3, BlaP1c",CARB-1-like,WP_063859105,NG_048733,1650733 (DOI),view,,,2c,carbenicillinase broad spectrum,A
72,A,CARB-4,BlaP3,CARB-1-like,ACN89662,FJ785525,9687391 (—),view,,,2c,carbenicillinase broad spectrum,A
73,A,CARB-5,RTG-2,CARB-5-like,AAF61417,AF135373,2786828 (DOI),view,,,,carbenicillinase broad spectrum,A
74,A,CARB-6,,CARB-1-like,AAD19217,AF030945,9925522 (—),view,,,,carbenicillinase broad spectrum,A
75,A,CARB-7,,CARB-1-like,AAM74565,AF409092,12069969 (DOI),view,,,,carbenicillinase broad spectrum,A
76,A,CARB-8,RTG-3,CARB-5-like,AAO59455,AY178993,12709319 (DOI),view,,,,carbenicillinase broad spectrum,A
77,A,CARB-9,,CARB-1-like,EKG82913,ALEB01000223,15388476 (DOI),view,,,,carbenicillinase broad spectrum,A
78,A,CARB-10,RTG-4,CARB-5-like,ACJ61335,EU850412,19380596 (DOI),view,,,,carbenicillinase ESBL,A
79,A,CARB-11,PSE-5,CARB-1-like,AAG23870,AY008290,—(—),view,,,,carbenicillinase broad spectrum,A
80,A,CARB-12,,CARB-1-like,BAA02497,D13210,—(—),view,,,,carbenicillinase broad spectrum,A
81,A,CARB-13,,,Assigned,,,,,,,,
82,A,CARB-14,RTG-5,CARB-5-like,AFI72872,JQ364968,22633451 (DOI),view,,,,carbenicillinase broad spectrum,A
83,A,CARB-15,,,Assigned,,,,,,,,
84,A,CARB-16,RTG-6,CARB-5-like,OCY97266,MDIN01000062,25063046 (DOI),view,,,,carbenicillinase broad spectrum,A
85,A,CARB-17,,CARB-17-like,AIL92326,KJ934265,25801555 (DOI),view,,,,carbenicillinase broad spectrum,N (Vibrio parahaemolyticus)
86,A,CARB-18,CARB-37,CARB-17-like,AIL92327,KJ934266,—(—),view,,,,carbenicillinase broad spectrum,N (Vibrio parahaemolyticus)
87,A,CARB-19,,CARB-17-like,AIL92328,KJ934267,—(—),view,,,,carbenicillinase broad spectrum,N (Vibrio parahaemolyticus)
88,A,CARB-20,,CARB-17-like,KED43530,JNSW01000056,,view,2,,,carbenicillinase broad spectrum,N (Vibrio parahaemolyticus)
89,A,CARB-21,,CARB-17-like,KED56068,JNSY01000030,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
90,A,CARB-22,,CARB-17-like,KJH12413,JYNG01000059,10834969 (—) 12620739 (DOI),view,,,,carbenicillinase broad spectrum,N (Vibrio parahaemolyticus)
91,A,CARB-23,,CARB-17-like,WP_025442943,NG_048726,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus UCM-V493)
92,A,CARB-24,,CARB-17-like,DAA64871,BK008907,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
93,A,CARB-25,,CARB-17-like,DAA64852,BK008888,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus M0605)
94,A,CARB-26,CARB-39,CARB-17-like,DAA64868,BK008904,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus S014)
95,A,CARB-27,,CARB-17-like,KJR13596,JZAN01000065,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
96,A,CARB-28,,CARB-17-like,DAA64870,BK008906,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus S023)
97,A,CARB-29,,CARB-17-like,DAA64869,BK008905,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus S024)
98,A,CARB-30,,CARB-17-like,KEE06075,JNTN01000060,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
99,A,CARB-31,,CARB-17-like,KEE53262,JNTZ01000001,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
100,A,CARB-32,,CARB-17-like,KHQ82819,JWSR01000004,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
101,A,CARB-33,,CARB-17-like,DAA64867,BK008903,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus S105)
102,A,CARB-34,,CARB-17-like,KJR27412,JZAP01000041,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
103,A,CARB-35,,CARB-17-like,DAA64864,BK008900,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus S141)
104,A,CARB-36,,CARB-17-like,OCP78510,LHBD01000022,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
105,A,CARB-37,CARB-18,,—,—,—(—),view,,,,carbenicillinase,
106,A,CARB-38,,CARB-17-like,DAA64862,BK008898,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus S164)
107,A,CARB-39,CARB-26,,—,—,—(—),view,,,,carbenicillinase,
108,A,CARB-40,,CARB-17-like,DAA64853,BK008889,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus TUMSAT_DE1_S1)
109,A,CARB-41,,CARB-17-like,DAA64854,BK008890,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus TUMSAT_DE2_S2)
110,A,CARB-42,,CARB-17-like,ALR93825,CP013485,,view,,,,carbenicillinase,N (Vibrio alginolyticus)
111,A,CARB-43,,CARB-17-like,KOE84138,LFWO01000032,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
112,A,CARB-44,,CARB-17-like,KHF12803,JTGS01000066,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
113,A,CARB-45,,CARB-17-like,KHF09587,JTGR01000061,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
114,A,CARB-46,,CARB-17-like,KED80204,JNTF01000030,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus)
115,A,CARB-47,,CARB-17-like,WP_031841337,NG_050564,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus NIHCB0757)
116,A,CARB-48,,CARB-17-like,WP_025577435,NG_050604,,view,,,,carbenicillinase,N (Vibrio parahaemolyticus VPTS-2009)
117,A,CARB-49,,CARB-5-like,ANW47155,KX599396,,view,,,,carbenicillinase,A
118,A,CARB-50,,CARB-5-like,AXH79875,MG717455,,view,,,,carbenicillinase,A
119,A,CARB-51,,CARB-2-like,QEJ74003,MN339506,,view,,,,carbenicillinase,A
120,A,CARB-52,,CARB-1-like,QEJ74004,MN339507,,view,,,,carbenicillinase,A
121,A,CARB-53,,CARB-1-like,QIM14707,MT160808,,view,,,,carbenicillinase,A
122,A,CARB-54,RTG-1,CARB-5-like,BAA02496,D13209,1840585 (DOI),view,,,,carbenicillinase,A
123,A,CARB-55,,CARB-1-like,WP_071846358,NG_052478,,view,,,,carbenicillinase,A
124,A,CARB-56,,CARB-17-like,AGV20491,CP006719,,view,,,,carbenicillinase,N (Vibrio alginolyticus NBRC 15630 = ATCC 17749)
125,A,CARB-57,,CARB-17-like,EMD81332,AMPD01000002,,view,,,,carbenicillinase,N (Vibrio alginolyticus E0666)
126,A,CARB-58,,CARB-1-like,EHB1181979,AAYVIP010000086,,view,,,,carbenicillinase,A
127,A,CblA-1,,,EFV25597,ACTC01000085,7985999 (DOI),view,,,,,N (Bacteroides sp. 4_1_36)
128,A,CBP-1,,,ALF06101,KP718480,,view,,,,penicillinase,N (Clostridium botulinum)
129,A,CdiA-1,"CITDI, CDIV",SED-like,CAA44485,X62610,1778425 (DOI),view,,,,ESBL,N (Citrobacter koseri)
130,A,CdiA-2,,SED-like,CAA54738,X77657,8064842 (DOI),view,,,,,N (Citrobacter koseri)
131,A,CepA-1,,,AAA21532,U05883,8285623 (DOI),view,,,2e,ESBL,N (Bacteroides fragilis)
132,A,CepA-2,,,AAA21533,U05884,7517394 (DOI),view,,,,ESBL,N (Bacteroides fragilis)
133,A,CepA-3,,,AAA21534,U05885,7517394 (DOI),view,,,,ESBL,N (Bacteroides fragilis)
134,A,CepA-4,,,AAA21535,U05886,7517394 (DOI) 22177890 (DOI),view,,,,ESBL,N (Bacteroides fragilis)
135,A,CepA-5,,,CBX07046,FR688021,22177890 (DOI),view,,,,ESBL,N (Bacteroides fragilis)
136,A,CepA-6,,,KXU41062,KQ971000,7517394 (DOI) 22177890 (DOI),view,,,,ESBL,N (Bacteroides cellulosilyticus)
137,A,CESS-1,,,AMJ56020,CP014274,38588869 (DOI),view,4,,,,N (Stenotrophomonas sp. KCTC 12332 YM1)
138,A,CfxA-1,,,AAD43600,U75371,,view,,,,broad spectrum,A and N (Bacteroides fragilis)
139,A,CfxA-2,,,KXB36938,KQ959262,11451705 (DOI),view,,,2e,ESBL,A and N (Bacteroidales bacterium KA00251)
140,A,CfxA-3,,,CUQ50797,CZBL01000020,14766881 (DOI),view,,,,ESBL,A and N (Bacteroides caccae)
141,A,CfxA-4,,,AAV37205,AY769933,—(—),view,,,,ESBL,A and N (Bacteroides fragilis)
142,A,CfxA-5,,,KDS26384,JNHI01000045,—(—),view,,,,broad spectrum,A and N (Bacteroides vulgatus str. 3775 SL(B) 10 (iv))
143,A,CfxA-6,,,AAM48117,AF504910,,view,,,,ESBL,N (Prevotella buccae)
144,A,CfxA-7,,,AAM48121,AF504914,,view,,,,ESBL,N (Prevotella denticola)
145,A,CfxA-8,,,AAM48116,AF504909,,view,,,,broad spectrum,N (Prevotella bivia)
146,A,CfxA-9,,,AAM48122,AF504915,,view,,,,broad spectrum,N (Prevotella intermedia)
147,A,CfxA-10,,,AAM48124,AF504917,,view,,,,broad spectrum,N (Prevotella melaninogenica)
148,A,CfxA-11,,,AAM48125,AF504918,,view,,,,broad spectrum,N (Prevotella oralis)
149,A,SegacoprA-1,,,MCP9553968,JANDWR010000075,19713526 (DOI),view,,,,broad spectrum,N (Segatella copri HF1482)
150,A,CGA-1,,,AAL55262,AF339733,11897576 (DOI),view,,,2be,ESBL,N (Chryseobacterium gleum)
151,A,CIA-1,,,BAL40892,AB639753,22083470 (DOI),view,,,,ESBL,N (Chryseobacterium indologenes NBRC 14944)
152,A,CIA-2,,,BAL40893,AB674566,22083470 (DOI),view,,,,ESBL,N (Chryseobacterium indologenes)
153,A,CIA-3,,,BAL40894,AB674567,22083470 (DOI),view,,,,ESBL,N (Chryseobacterium indologenes)
154,A,CIA-4,,,BAL40895,AB674568,22083470 (DOI),view,,,,ESBL,N (Chryseobacterium indologenes)
155,A,CKA-1,,,BAH07623,AP009049,,view,1,,,,N (Clostridium kluyveri NBRC 12016)
156,A,CKO-1,,,AAL85333,AF477396,16445758 (DOI),view,,,,broad spectrum,N (Citrobacter koseri)
157,A,CKO-2,,,CAE81357,AJ609503,16445758 (DOI),view,,,,,N (Citrobacter koseri CK1)
158,A,CKO-3,,,CAE81358,AJ609504,16445758 (DOI),view,,,,,N (Citrobacter koseri CIP-72.8)
159,A,CKO-4,"CKO-5, MAL-1",,CAC33434,AJ277209,16445758 (DOI),view,,,,broad spectrum,N (Citrobacter koseri)
160,A,CKO-5,"CKO-4, MAL-1",,—,—,,,,,,,
161,A,CKO-6,MAL-2,,AAP80386,AF359512,,view,,,,broad spectrum,N (Citrobacter koseri)
162,A,CM1-1,CM1-P1,,—,—,,view,,,,,
163,A,CM1-P1,CM1-1,,AGU01684,KF485394,31487611 (DOI),view,,,,,
164,A,CME-1,,CME-like,KUY21918,LNOG01000007,10471563 (DOI),view,,,,ESBL,N (Elizabethkingia anophelis)
165,A,CME-2,,CME-like,ABO21421,EF394446,22612901 (DOI),view,,,,ESBL,N (Elizabethkingia meningoseptica)
166,A,CME-3,,CME-like,ATC38035,CP023401,,view,,,,ESBL,N (Elizabethkingia anophelis R26)
167,A,CME-4,,CME-like,AAF19261,AF033200,10602714 (DOI),view,,,,,N (Elizabethkingia meningoseptica PINT)
168,A,CRP-1,,,KIA78998,JTGE01000141,26892778 (DOI),view,,,,carbapenemase,N (Chromobacterium piscinae)
169,A,CRP-2,,,OHX16101,MKCR01000026,,view,,,,,N (Chromobacterium amazonense DSM 26508)
170,A,CRH-1,,,WP_043592266,NZ_JRFR01000016,26892778 (DOI),view,2,,,carbapenemase,N (Chromobacterium haemolyticum)
171,A,CRH-2,,,AQZ55549,KY773614,,view,,,,carbapenemase,N (Chromobacterium haemolyticum)
172,A,CRH-3,,,AQZ55550,KY773615,,view,,,,carbapenemase,N (Chromobacterium haemolyticum)
173,A,CSP-1,SPU-1,,ADK47391,GQ919044,20308380 (DOI),view,,,,ESBL,N (Capnocytophaga sputigena 507)
174,A,CST-1,,,GIJ97441,BOPK01000011,39707108 (DOI),view,,,,,A
175,A,CTX-M-1,MEN-1,CTX-M-1-like,ABK06383,DQ915955,8834913 (DOI),view,,,2be,ESBL,A
176,A,CTX-M-2,,CTX-M-2-like,BAD34451,AB176535,8834913 (DOI),view,,,2be,ESBL,A
177,A,CTX-M-3,"CTX-M-133, KLUB-1",CTX-M-1-like,AFI26272,JQ397652,9559791 (DOI),view,,,2be,ESBL,N (*Kluyvera ascorbata)
178,A,CTX-M-4,,CTX-M-2-like,CAA74573,Y14156,9593162 (DOI),view,,,2be,ESBL,A
179,A,CTX-M-5,KLUA-2,CTX-M-2-like,CAB63259,AJ251722,9687393 (DOI),view,,,2be,ESBL,N (*Kluyvera ascorbata)
180,A,CTX-M-6,,CTX-M-2-like,CAA06311,AJ005044,9742701 (DOI),view,,,2be,ESBL,A
181,A,CTX-M-7,,CTX-M-2-like,CAA06312,AJ005045,9742701 (DOI),view,,,2be,ESBL,A
182,A,CTX-M-8,,CTX-M-8-like,AAF04388,AF189721,10858358 (DOI),view,,,2be,ESBL,A
183,A,CTX-M-9,,CTX-M-9-like,AAZ30046,DQ108615,10858363 (DOI) 12121950 (DOI),view,29,3,2be,ESBL,A
184,A,CTX-M-10,,CTX-M-1-like,AAF65843,AF255298,11158766 (DOI),view,,,2be,ESBL,A
185,A,CTX-M-11,CTX-M-P44,,—,—,,,,,,,
186,A,CTX-M-12,,CTX-M-1-like,KJL64335,JZXT01000050,11408239 (DOI),view,,,2be,ESBL,A
187,A,CTX-M-13,,CTX-M-9-like,AAF72531,AF252623,11850241 (DOI),view,,,2be,ESBL,A
188,A,CTX-M-14,"CTX-M-18, KLUY-1, Toho-3, UOE-2",CTX-M-9-like,ABN64105,EF416289,11850241 (DOI) 11709308 (DOI) 15750063 (DOI) —(—)26169409 (DOI) 15855541 (DOI) 32868328 (DOI),view,96,4,,ESBL,N (*Kluyvera sp. N03-0458)
189,A,CTX-M-15,UOE-1,CTX-M-1-like,AEQ20893,JN788266,11470367 (DOI) 26169409 (DOI) 38366372 (DOI),view,35,,2be,ESBL,A
190,A,CTX-M-16,,CTX-M-9-like,AAK32961,AY029068,11451684 (DOI),view,1,,2be,ESBL,A
191,A,CTX-M-17,,CTX-M-9-like,AAK71471,AY033516,11959547 (DOI),view,,,2be,ESBL,A
192,A,CTX-M-18,"CTX-M-14, KLUY-1, Toho-3, UOE-2",,—,—,—(—),,,,,,
193,A,CTX-M-19,,CTX-M-9-like,CDF31571,HG000669,11709308 (DOI),view,,,2be,ESBL,A
194,A,CTX-M-20,,CTX-M-2-like,CAC95175,AJ416344,12007800 (DOI),view,,,2be,ESBL,A
195,A,CTX-M-21,,CTX-M-9-like,CAD08929,AJ416346,12007800 (DOI),view,,,2be,ESBL,A
196,A,CTX-M-22,,CTX-M-1-like,AAX58181,AY954529,16533535 (DOI),view,,,2be,ESBL,A
197,A,CTX-M-23,,CTX-M-1-like,AAL99990,AF488377,15201232 (DOI),view,,,2be,ESBL,A
198,A,CTX-M-24,,CTX-M-9-like,ABN48310,EF374096,16533535 (DOI),view,,,2be,ESBL,A
199,A,CTX-M-25,,CTX-M-25-like,AAM70498,AF518567,15561863 (DOI),view,,,2be,ESBL,A
200,A,CTX-M-26,,CTX-M-25-like,AAN75444,AY157676,12493817 (DOI) 15561863 (DOI),view,,,2be,ESBL,A
201,A,CTX-M-27,,CTX-M-9-like,AAO61597,AY156923,12775683 (DOI) 38366372 (DOI),view,4,,2be,ESBL,A
202,A,CTX-M-28,,CTX-M-1-like,ABS12043,EF545555,18603686 (DOI),view,,,2be,ESBL,A
203,A,CTX-M-29,,CTX-M-1-like,AAP22736,AY267213,16533535 (DOI),view,,,2be,ESBL,A
204,A,CTX-M-30,,CTX-M-1-like,AAP43508,AY292654,15504875 (DOI),view,,,2be,ESBL,A
205,A,CTX-M-31,,CTX-M-2-like,CAD99182,AJ567482,12936986 (DOI),view,,,2be,ESBL,A
206,A,CTX-M-32,,CTX-M-1-like,AOG15804,KT459669,15155242 (DOI),view,,,2be,ESBL,A
207,A,CTX-M-33,,CTX-M-1-like,AAO88912,AY238472,17234386 (DOI) 31527021 (DOI),view,,,2be,ESBL,A
208,A,CTX-M-34,,CTX-M-1-like,AAR99493,AY515297,16244084 (DOI),view,,,2be,ESBL,A
209,A,CTX-M-35,,CTX-M-2-like,BAD83774,AB176533,—(—),view,,,2be,ESBL,A
210,A,CTX-M-36,,CTX-M-1-like,SAD14715,FKBV01000019,—(—),view,,,2be,ESBL,A
211,A,CTX-M-37,KLUB-2,CTX-M-1-like,AAT70415,AY649755,—(—),view,,,2be,ESBL,N (*Kluyvera cryocrescens)
212,A,CTX-M-38,,CTX-M-9-like,AAV70602,AY822595,—(—),view,,,2be,ESBL,A
213,A,CTX-M-39,,CTX-M-25-like,AKJ18890,KP975074,16251320 (DOI),view,,,2be,ESBL,A
214,A,CTX-M-40,,CTX-M-8-like,AAV28215,AY750914,16697557 (DOI),view,,,2be,ESBL,A
215,A,CTX-M-41,,CTX-M-25-like,AAY43008,DQ023162,18487232 (DOI),view,,,2be,ESBL,A
216,A,CTX-M-42,,CTX-M-1-like,AAY84742,DQ061159,—(—),view,,,2be,ESBL,A
217,A,CTX-M-43,,CTX-M-2-like,AAZ14955,DQ102702,16510850 (DOI),view,,,2be,ESBL,A
218,A,CTX-M-44,Toho-1,CTX-M-2-like,BAA07082,D37830,8619581 (DOI) 38000656 (DOI),view,25,8,2be,ESBL,A
219,A,CTX-M-45*,Toho-2,CTX-M-9-like,BAA28282,D89862,9593147 (DOI),view,,,2be,ESBL,A
220,A,CTX-M-46,,CTX-M-9-like,AAV97956,AY847147,16082008 (DOI) 16333139 (DOI),view,,,2be,ESBL,A
221,A,CTX-M-47,,CTX-M-9-like,AAV97952,AY847143,16082008 (DOI) 16333139 (DOI),view,,,2be,ESBL,A
222,A,CTX-M-48,,CTX-M-9-like,AAV97953,AY847144,16082008 (DOI) 16333139 (DOI),view,,,2be,ESBL,A
223,A,CTX-M-49,,CTX-M-9-like,AAV97954,AY847145,16082008 (DOI) 16333139 (DOI),view,,,2be,ESBL,A
224,A,CTX-M-50,,CTX-M-9-like,AAV97955,AY847146,16082008 (DOI) 16333139 (DOI),view,,,2be,ESBL,A
225,A,CTX-M-51,,CTX-M-9-like,ABA62022,DQ211987,—(—),view,,,2be,ESBL,A
226,A,CTX-M-52,,CTX-M-1-like,ABB17185,DQ223685,—(—),view,,,2be,ESBL,A
227,A,CTX-M-53,,CTX-M-1-like,ABB72225,DQ268764,19273683 (DOI),view,,,2be,ESBL,A
228,A,CTX-M-54,,CTX-M-1-like,ABC18328,DQ303459,16785225 (DOI),view,,,2be,ESBL,A
229,A,CTX-M-55,CTX-M-57,CTX-M-1-like,ABI34705,DQ885477,17449211 (DOI) 18054206 (DOI) 26169409 (DOI),view,,,2be,ESBL,A
230,A,CTX-M-56,,CTX-M-2-like,ABN48311,EF374097,17548490 (DOI),view,,,2be,ESBL,A
231,A,CTX-M-57,CTX-M-55,,—,—,—(—),,,,,,
232,A,CTX-M-58,,CTX-M-1-like,ABM97538,EF210159,—(—),view,,,2be,ESBL,A
